,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-21,H,DAL,W,113,87,45,94,0.479,15,35,0.429,8,9,0.889,6,55,31,8,9,13,16,109.9,84.6,102.9,0.096,0.372,0.577,52.4,68.9,7.8,18.0,0.559,11.7,13.0,0.085,0.403,13.2,83.1,0.129
1,2021-10-23,A,CLE,L,95,101,38,99,0.384,10,34,0.294,9,15,0.6,17,54,20,5,3,9,23,99.3,105.6,95.7,0.152,0.343,0.45,50.0,52.6,5.2,4.9,0.434,7.9,28.8,0.091,0.455,9.0,75.5,0.225
2,2021-10-25,H,DET,W,122,104,46,90,0.511,12,32,0.375,18,21,0.857,10,49,24,11,3,13,19,123.1,105.0,99.1,0.233,0.356,0.615,57.6,52.2,11.1,5.2,0.578,11.6,28.6,0.2,0.489,12.4,78.0,0.165
3,2021-10-27,A,NOP,W,102,99,40,96,0.417,8,30,0.267,14,17,0.824,21,55,21,4,4,11,14,110.2,107.0,92.5,0.177,0.313,0.493,55.6,52.5,4.3,7.0,0.458,9.6,37.5,0.146,0.489,8.5,79.1,0.086
4,2021-10-28,A,WAS,L,111,122,48,88,0.545,6,21,0.286,9,14,0.643,6,43,26,4,3,13,16,111.9,122.9,99.2,0.159,0.239,0.589,45.7,54.2,4.0,4.6,0.58,12.1,14.0,0.102,0.53,5.3,72.5,0.172
5,2021-10-30,A,PHI,L,94,122,36,95,0.379,8,22,0.364,14,19,0.737,20,49,24,6,1,19,17,95.6,124.1,98.3,0.2,0.232,0.455,57.0,66.7,6.1,2.1,0.421,15.5,38.5,0.147,0.605,11.3,85.3,0.209
6,2021-11-01,H,WAS,W,118,111,38,83,0.458,13,34,0.382,29,29,1.0,13,47,24,9,5,11,17,126.3,118.8,93.4,0.349,0.41,0.616,56.6,63.2,9.6,10.6,0.536,10.3,31.0,0.349,0.552,11.4,82.9,0.186
7,2021-11-03,A,BRK,L,108,117,41,94,0.436,13,35,0.371,13,15,0.867,12,52,23,8,4,14,16,108.5,117.5,99.6,0.16,0.372,0.537,55.3,56.1,8.0,10.0,0.505,12.2,25.5,0.138,0.614,13.0,85.1,0.102
8,2021-11-04,H,UTA,L,98,116,35,82,0.427,7,28,0.25,21,26,0.808,5,32,18,11,4,9,24,103.2,122.1,95.0,0.317,0.341,0.524,41.0,51.4,11.6,10.0,0.47,8.8,11.6,0.256,0.611,13.3,77.1,0.21
9,2021-11-06,A,PHO,L,117,121,42,97,0.433,13,33,0.394,20,23,0.87,14,50,18,3,1,12,16,114.2,118.1,102.4,0.237,0.34,0.546,54.3,42.9,2.9,2.2,0.5,10.1,27.5,0.206,0.591,11.0,87.8,0.193
10,2021-11-08,A,GSW,L,113,127,38,82,0.463,17,43,0.395,20,26,0.769,3,35,21,6,2,18,16,108.9,122.4,103.8,0.317,0.524,0.605,47.3,55.3,5.8,4.2,0.567,16.2,9.4,0.244,0.576,11.3,76.2,0.228
11,2021-11-09,A,UTA,L,98,110,37,85,0.435,18,35,0.514,6,10,0.6,6,32,22,6,5,11,18,106.5,119.6,92.0,0.118,0.412,0.548,42.1,59.5,6.5,11.6,0.541,11.0,14.3,0.071,0.599,13.7,76.5,0.16
12,2021-11-12,A,DEN,L,96,105,38,93,0.409,5,28,0.179,15,21,0.714,14,50,20,2,5,8,20,102.6,112.2,93.6,0.226,0.301,0.469,50.5,52.6,2.1,9.1,0.435,7.3,26.4,0.161,0.5,6.6,78.3,0.167
13,2021-11-14,H,MIL,W,120,100,47,97,0.485,15,35,0.429,11,13,0.846,15,51,21,6,1,12,19,125.6,104.7,95.6,0.134,0.361,0.584,63.0,44.7,6.3,2.3,0.562,10.5,36.6,0.113,0.536,10.8,90.0,0.119
14,2021-11-15,H,ORL,W,129,111,47,85,0.553,14,30,0.467,21,32,0.656,9,46,32,10,7,11,17,127.6,109.8,101.1,0.376,0.353,0.651,52.9,68.1,9.9,13.5,0.635,10.0,23.7,0.247,0.537,13.7,75.5,0.095
15,2021-11-17,H,BOS,W,110,99,41,81,0.506,13,37,0.351,15,18,0.833,6,40,28,9,4,11,17,119.7,107.8,91.9,0.222,0.457,0.619,48.8,68.3,9.8,9.3,0.586,11.0,16.7,0.185,0.506,13.3,73.9,0.167
16,2021-11-20,H,CHO,W,115,105,43,82,0.524,12,34,0.353,17,21,0.81,8,46,24,6,6,12,22,121.0,110.5,95.0,0.256,0.415,0.63,47.4,55.8,6.3,9.7,0.598,11.6,20.5,0.207,0.471,8.4,65.5,0.088
17,2021-11-22,H,OKC,W,113,101,42,87,0.483,14,34,0.412,15,16,0.938,8,44,25,6,6,7,16,123.7,110.5,91.4,0.184,0.391,0.601,46.8,59.5,6.6,10.2,0.563,6.9,19.0,0.172,0.454,7.2,69.2,0.134
18,2021-11-24,A,SAS,W,124,106,45,88,0.511,12,26,0.462,22,24,0.917,8,44,26,10,5,9,11,127.4,108.9,97.4,0.273,0.295,0.629,50.0,57.8,10.3,7.5,0.58,8.4,21.6,0.25,0.49,10.3,70.6,0.08
19,2021-11-26,A,MEM,W,132,100,52,89,0.584,13,27,0.481,15,21,0.714,9,49,33,8,5,12,15,132.5,100.4,99.6,0.236,0.303,0.672,57.6,63.5,8.0,9.4,0.657,10.9,25.7,0.169,0.473,11.6,80.0,0.154
20,2021-11-27,H,NYK,L,90,99,33,93,0.355,9,37,0.243,15,20,0.75,13,52,18,8,6,6,17,97.7,107.5,92.1,0.215,0.398,0.442,51.0,54.5,8.7,11.3,0.403,5.6,23.6,0.161,0.506,9.8,83.0,0.195
21,2021-12-01,A,IND,W,114,111,44,86,0.512,16,33,0.485,10,12,0.833,7,41,24,4,8,13,15,118.3,115.2,96.4,0.14,0.384,0.624,50.6,54.5,4.2,14.0,0.605,12.5,17.9,0.116,0.544,9.3,81.0,0.144
22,2021-12-03,H,PHI,L,96,98,31,76,0.408,10,28,0.357,24,30,0.8,11,47,20,5,3,14,20,105.2,107.4,91.2,0.395,0.368,0.538,54.0,64.5,5.5,5.1,0.474,13.6,24.4,0.316,0.525,11.1,85.7,0.16
23,2021-12-05,H,CHO,L,127,130,48,93,0.516,17,37,0.459,14,18,0.778,10,45,29,4,3,10,19,130.4,133.5,97.4,0.194,0.398,0.629,53.6,60.4,4.1,6.1,0.608,9.0,23.8,0.151,0.634,5.8,83.3,0.244
24,2021-12-06,A,MIN,W,121,110,40,90,0.444,25,49,0.51,16,19,0.842,11,49,31,5,8,10,20,127.8,116.1,94.7,0.211,0.544,0.615,49.5,77.5,5.3,13.8,0.583,9.2,24.4,0.178,0.485,7.0,70.4,0.153
25,2021-12-10,H,BRK,L,105,113,37,94,0.394,11,34,0.324,20,24,0.833,16,49,21,10,3,14,19,105.6,113.6,99.4,0.255,0.362,0.502,54.4,56.8,10.1,4.3,0.452,11.8,33.3,0.213,0.527,11.5,78.6,0.161
26,2021-12-13,H,HOU,L,126,132,42,85,0.494,15,39,0.385,27,31,0.871,8,40,20,9,6,12,26,123.8,129.6,101.8,0.365,0.459,0.639,47.1,47.6,8.8,12.0,0.582,10.8,19.5,0.318,0.578,9.3,72.7,0.219
27,2021-12-15,A,ORL,W,111,99,42,85,0.494,11,31,0.355,16,16,1.0,6,40,25,11,5,13,16,113.0,100.7,98.3,0.188,0.365,0.603,46.5,59.5,11.2,9.1,0.559,12.4,15.0,0.188,0.444,13.9,73.9,0.211
28,2021-12-17,H,DEN,L,115,133,41,88,0.466,7,24,0.292,26,34,0.765,10,37,22,6,3,15,17,110.9,128.3,103.7,0.386,0.273,0.558,49.3,53.7,5.8,6.3,0.506,12.7,22.7,0.295,0.68,13.0,87.1,0.186
29,2021-12-22,H,ORL,L,98,104,32,80,0.4,12,31,0.387,22,29,0.759,13,49,21,4,8,14,19,105.5,111.9,92.9,0.363,0.388,0.528,55.1,65.6,4.3,16.7,0.475,13.1,28.9,0.275,0.512,9.5,81.8,0.2
30,2021-12-23,A,PHI,W,98,96,37,82,0.451,7,24,0.292,17,19,0.895,11,46,20,5,4,10,19,111.5,109.3,87.9,0.232,0.293,0.542,54.8,54.1,5.7,7.5,0.494,10.0,26.8,0.207,0.45,8.0,81.4,0.3
31,2021-12-25,A,NYK,L,87,101,33,87,0.379,13,38,0.342,8,14,0.571,8,46,23,8,5,12,12,93.9,109.0,92.7,0.161,0.437,0.467,47.9,69.7,8.6,14.3,0.454,11.4,16.3,0.092,0.565,10.0,80.9,0.059
32,2021-12-27,H,CHI,L,118,130,40,89,0.449,15,34,0.441,23,26,0.885,11,45,22,3,5,10,14,121.8,134.1,96.9,0.292,0.382,0.587,50.6,55.0,3.1,8.8,0.534,9.1,23.9,0.258,0.638,6.5,79.1,0.106
33,2021-12-29,A,CHI,L,117,131,44,92,0.478,11,26,0.423,18,26,0.692,10,37,26,6,3,11,17,116.1,130.0,100.8,0.283,0.283,0.566,47.4,59.1,6.0,4.8,0.538,9.6,22.2,0.196,0.679,12.2,81.8,0.202
34,2021-12-31,A,CLE,W,121,118,43,97,0.443,16,38,0.421,19,21,0.905,14,44,23,8,4,2,23,129.9,126.7,93.2,0.216,0.392,0.569,48.9,53.5,8.6,6.8,0.526,1.8,26.9,0.196,0.619,8.7,78.9,0.167
35,2022-01-03,A,POR,L,131,136,48,88,0.545,14,41,0.341,21,24,0.875,9,39,31,6,1,12,24,133.8,138.9,97.9,0.273,0.466,0.665,48.8,64.6,6.1,2.1,0.625,10.9,23.7,0.239,0.629,8.2,71.4,0.27
36,2022-01-05,A,SAC,W,108,102,39,86,0.453,8,30,0.267,22,30,0.733,10,48,20,8,5,10,14,110.9,104.8,97.4,0.349,0.349,0.544,50.5,51.3,8.2,7.9,0.5,9.2,21.3,0.256,0.483,10.0,79.2,0.167
37,2022-01-07,A,LAL,L,118,134,43,96,0.448,13,36,0.361,19,27,0.704,13,54,29,3,0,15,18,109.6,124.5,107.7,0.281,0.375,0.547,53.5,67.4,2.8,0.0,0.516,12.2,25.0,0.198,0.579,6.8,83.7,0.168
38,2022-01-09,A,LAC,L,93,106,35,78,0.449,7,26,0.269,16,19,0.842,6,39,19,6,2,13,14,101.1,115.2,92.0,0.244,0.333,0.538,45.3,54.3,6.5,3.4,0.494,13.1,15.0,0.205,0.543,11.2,71.7,0.065
39,2022-01-12,H,MIA,L,91,115,31,82,0.378,13,45,0.289,16,23,0.696,6,37,20,8,3,14,15,92.9,117.4,98.0,0.28,0.549,0.494,40.7,64.5,8.2,6.7,0.457,13.2,12.0,0.195,0.567,12.7,75.6,0.144
40,2022-01-14,A,MIA,L,118,124,38,79,0.481,16,38,0.421,26,30,0.867,9,34,26,6,6,15,27,124.8,131.1,94.6,0.38,0.481,0.64,47.9,68.4,6.3,12.8,0.582,14.0,24.3,0.329,0.623,14.3,73.5,0.364
41,2022-01-15,H,NYK,L,108,117,40,80,0.5,16,44,0.364,12,17,0.706,4,31,23,5,5,9,20,120.1,130.1,89.9,0.213,0.55,0.617,41.3,57.5,5.6,9.6,0.6,9.3,10.8,0.15,0.584,7.8,71.1,0.241
42,2022-01-17,H,MIL,W,121,114,38,86,0.442,15,36,0.417,30,32,0.938,10,46,25,7,8,13,18,121.0,114.0,100.0,0.372,0.419,0.605,52.3,65.8,7.0,16.0,0.529,11.5,23.3,0.349,0.534,11.7,80.0,0.227
43,2022-01-19,H,MIN,W,134,122,45,86,0.523,15,38,0.395,29,33,0.879,8,39,34,7,9,11,23,132.5,120.6,101.1,0.384,0.442,0.667,46.4,75.6,6.9,17.6,0.61,9.9,21.6,0.337,0.521,10.6,66.0,0.216
44,2022-01-21,H,MIA,W,110,108,38,68,0.559,14,33,0.424,20,24,0.833,6,36,26,3,1,16,17,123.0,120.7,89.4,0.353,0.485,0.7,52.2,68.4,3.4,2.2,0.662,16.9,21.4,0.294,0.571,14.2,73.2,0.129
45,2022-01-23,A,CHO,W,113,91,40,88,0.455,15,39,0.385,18,24,0.75,7,45,25,12,6,10,22,112.2,90.3,100.7,0.273,0.443,0.573,45.5,62.5,11.9,11.8,0.54,9.2,14.0,0.205,0.414,13.9,77.6,0.218
46,2022-01-26,H,SAC,W,121,104,48,90,0.533,12,36,0.333,13,17,0.765,6,48,29,9,2,8,18,121.5,104.4,99.6,0.189,0.4,0.621,53.3,60.4,9.0,3.8,0.6,7.6,15.8,0.144,0.484,10.6,80.8,0.151
47,2022-01-28,H,BOS,W,108,92,41,89,0.461,12,31,0.387,14,20,0.7,9,43,19,10,11,11,21,112.9,96.2,95.7,0.225,0.348,0.552,45.3,46.3,10.5,22.0,0.528,10.1,20.0,0.157,0.39,14.0,68.0,0.291
48,2022-01-30,H,LAL,W,129,121,49,84,0.583,10,31,0.323,21,32,0.656,8,45,31,7,0,12,21,126.8,118.9,101.8,0.381,0.369,0.658,54.2,63.3,6.9,0.0,0.643,10.9,20.0,0.25,0.626,11.0,86.0,0.138
49,2022-01-31,H,TOR,L,100,106,37,81,0.457,12,32,0.375,14,16,0.875,5,46,28,6,5,15,20,103.3,109.5,96.8,0.198,0.395,0.568,51.7,75.7,6.2,9.4,0.531,14.6,11.9,0.173,0.528,7.7,87.2,0.135
50,2022-02-03,H,PHO,W,124,115,44,84,0.524,20,40,0.5,16,22,0.727,6,41,25,6,1,15,21,124.1,115.1,99.9,0.262,0.476,0.662,51.3,56.8,6.0,1.8,0.643,13.8,15.4,0.19,0.574,9.4,85.4,0.159
51,2022-02-04,A,TOR,L,114,125,43,93,0.462,9,29,0.31,19,21,0.905,13,40,27,12,4,9,16,119.9,131.5,95.1,0.226,0.312,0.558,47.1,62.8,12.6,7.4,0.511,8.1,26.0,0.204,0.673,13.6,77.1,0.198
52,2022-02-06,A,DAL,L,94,103,37,95,0.389,5,25,0.2,15,16,0.938,15,50,21,7,4,12,18,99.6,109.2,94.3,0.168,0.263,0.461,51.0,56.8,7.4,7.7,0.416,10.5,29.4,0.158,0.523,13.0,74.5,0.125
53,2022-02-08,H,IND,W,133,112,52,90,0.578,17,33,0.515,12,16,0.75,10,43,36,8,7,14,26,135.1,113.8,98.4,0.178,0.367,0.685,50.0,69.2,8.1,11.3,0.672,12.6,28.6,0.133,0.452,10.8,64.7,0.301
54,2022-02-11,H,SAS,L,121,136,47,103,0.456,14,43,0.326,13,15,0.867,17,49,28,10,5,14,18,115.0,129.3,105.2,0.146,0.417,0.552,54.4,59.6,9.5,8.6,0.524,11.3,32.1,0.126,0.656,12.4,86.5,0.2
55,2022-02-13,A,BOS,L,95,105,34,93,0.366,12,38,0.316,15,15,1.0,11,48,18,6,3,13,22,98.0,108.3,96.9,0.161,0.409,0.477,47.1,52.9,6.2,6.4,0.43,11.5,20.8,0.161,0.488,11.0,75.5,0.259
56,2022-02-15,H,CLE,W,124,116,43,80,0.538,14,33,0.424,24,27,0.889,7,35,25,9,4,11,18,135.1,126.4,91.8,0.338,0.413,0.675,47.3,58.1,9.8,8.5,0.625,10.7,21.9,0.3,0.602,12.2,66.7,0.114
57,2022-02-16,A,ORL,W,130,109,45,90,0.5,18,33,0.545,22,28,0.786,13,47,23,7,6,11,20,130.5,109.5,99.6,0.311,0.367,0.635,51.1,51.1,7.0,10.5,0.6,9.7,28.3,0.244,0.495,11.1,73.9,0.122
58,2022-02-24,A,CHI,L,108,112,41,97,0.423,8,28,0.286,18,27,0.667,13,45,20,2,3,9,18,109.8,113.8,98.4,0.278,0.289,0.496,51.1,48.8,2.0,5.3,0.464,7.6,26.0,0.186,0.536,7.7,84.2,0.262
59,2022-02-26,H,TOR,W,127,100,48,83,0.578,13,31,0.419,18,22,0.818,5,45,27,8,8,12,19,127.6,100.5,99.5,0.265,0.373,0.685,51.7,56.3,8.0,12.7,0.657,11.5,13.9,0.217,0.453,9.6,78.4,0.147
60,2022-03-01,A,BOS,L,98,107,36,83,0.434,7,31,0.226,19,24,0.792,5,37,15,8,4,9,20,105.4,115.0,93.0,0.289,0.373,0.524,44.0,41.7,8.6,8.3,0.476,8.8,12.2,0.229,0.536,11.6,74.4,0.217
61,2022-03-03,H,CHI,W,130,124,44,84,0.524,18,40,0.45,24,28,0.857,8,33,26,7,3,5,15,138.4,132.1,93.9,0.333,0.476,0.675,50.8,59.1,7.5,4.8,0.631,4.9,22.9,0.286,0.67,12.5,83.3,0.068
62,2022-03-04,A,WAS,W,117,114,38,91,0.418,13,36,0.361,28,34,0.824,13,39,18,6,5,4,16,125.4,122.1,93.3,0.374,0.396,0.552,48.8,47.4,6.4,8.9,0.489,3.6,27.7,0.308,0.624,13.6,78.8,0.094
63,2022-03-07,A,DET,L,110,113,42,93,0.452,11,38,0.289,15,22,0.682,13,48,28,3,6,13,25,111.6,114.6,89.3,0.237,0.409,0.536,50.5,66.7,3.0,10.0,0.511,11.2,28.9,0.161,0.527,10.4,70.0,0.161
64,2022-03-09,A,MIL,L,115,124,43,86,0.5,11,38,0.289,18,22,0.818,7,44,26,6,3,9,20,117.1,126.2,98.2,0.256,0.442,0.601,46.8,60.5,6.1,5.1,0.564,8.6,15.2,0.209,0.564,7.1,77.1,0.191
65,2022-03-11,H,LAC,W,112,106,43,90,0.478,9,31,0.29,17,19,0.895,15,47,28,5,3,10,19,121.4,114.9,92.3,0.211,0.344,0.569,56.6,65.1,5.4,6.0,0.528,9.2,33.3,0.189,0.561,11.8,84.2,0.171
