,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2021-10-20,,PHI,L,97,117,39,93,.419,13,30,.433,6,9,.667,10,44,28,5,6,13,16,,44,85,.518,13,25,.520,16,20,.800,6,47,24,9,5,12,11
2,2,2021-10-22,@,CHI,L,112,128,42,87,.483,15,29,.517,13,16,.813,9,42,26,7,5,16,20,,47,89,.528,14,28,.500,20,25,.800,11,46,32,9,7,14,14
3,3,2021-10-23,@,MIN,L,89,96,31,89,.348,9,40,.225,18,23,.783,21,61,15,10,5,28,22,,39,96,.406,12,38,.316,6,10,.600,13,47,22,13,8,19,25
4,4,2021-10-25,@,MIN,W,107,98,39,87,.448,10,30,.333,19,23,.826,15,60,19,5,5,17,20,,31,90,.344,15,50,.300,21,27,.778,11,41,20,10,7,11,19
5,5,2021-10-27,,ATL,L,99,102,40,93,.430,11,36,.306,8,9,.889,9,44,24,5,6,9,19,,40,96,.417,8,30,.267,14,17,.824,21,55,21,4,4,11,14
6,6,2021-10-29,,SAC,L,109,113,42,98,.429,9,34,.265,16,25,.640,13,49,18,9,6,10,22,,40,80,.500,9,27,.333,24,25,.960,3,45,19,4,5,14,20
7,7,2021-10-30,,NYK,L,117,123,42,92,.457,11,33,.333,22,24,.917,12,43,30,7,3,11,24,,42,81,.519,19,33,.576,20,25,.800,5,37,22,7,4,12,21
8,8,2021-11-02,@,PHO,L,100,112,36,91,.396,13,39,.333,15,16,.938,14,43,21,17,6,17,16,,43,82,.524,9,26,.346,17,18,.944,7,42,32,8,4,19,17
9,9,2021-11-03,@,SAC,L,99,112,37,86,.430,12,34,.353,13,15,.867,8,40,24,1,3,16,16,,42,80,.525,10,30,.333,18,22,.818,4,37,27,8,7,8,21
10,10,2021-11-05,@,GSW,L,85,126,31,88,.352,11,44,.250,12,16,.750,11,42,23,6,3,17,18,,47,91,.516,20,50,.400,12,14,.857,9,49,36,10,4,11,16
11,11,2021-11-08,@,DAL,L,92,108,37,87,.425,9,34,.265,9,11,.818,9,39,27,7,0,13,16,,43,85,.506,14,35,.400,8,13,.615,9,46,27,7,3,12,15
12,12,2021-11-10,,OKC,L,100,108,34,97,.351,9,35,.257,23,32,.719,19,50,24,13,5,9,20,,37,87,.425,10,34,.294,24,30,.800,13,56,23,6,4,18,23
13,13,2021-11-12,,BRK,L,112,120,43,88,.489,13,32,.406,13,16,.813,12,43,26,6,5,15,26,,41,82,.500,18,34,.529,20,27,.741,7,34,27,9,4,12,20
14,14,2021-11-13,,MEM,W,112,101,38,79,.481,14,29,.483,22,25,.880,8,37,29,5,6,13,22,,38,88,.432,8,24,.333,17,21,.810,13,39,21,6,6,9,19
