,Date,H/A,Opp,W/L,P,OppP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
0,2021-10-20,A,PHO,W,110,98,44,83,0.53,17,39,0.436,5,9,0.556,6,46,25,9,1,17,20,111.5,99.3,98.7,0.108,0.47,0.632,50.5,56.8,9.1,2.0,0.633,16.4,15.0,0.06,0.494,16.0,78.4,0.138
1,2021-10-22,H,SAS,W,102,96,44,86,0.512,9,30,0.3,5,8,0.625,8,41,26,10,2,21,21,100.7,94.8,101.3,0.093,0.349,0.57,51.3,59.1,9.9,3.3,0.564,19.0,20.0,0.058,0.512,18.2,82.5,0.119
2,2021-10-25,H,CLE,L,87,99,35,86,0.407,9,38,0.237,8,12,0.667,11,47,21,10,3,21,22,90.4,102.8,96.3,0.14,0.442,0.477,49.0,60.0,10.4,5.3,0.459,18.7,22.4,0.093,0.506,13.4,76.6,0.195
3,2021-10-26,A,UTA,L,110,122,42,83,0.506,10,28,0.357,16,24,0.667,5,35,19,9,3,13,23,109.9,121.9,100.1,0.289,0.337,0.588,46.1,45.2,9.0,6.5,0.566,12.2,13.2,0.193,0.588,11.7,78.9,0.259
4,2021-10-29,H,DAL,W,106,75,43,83,0.518,11,36,0.306,9,13,0.692,5,51,28,8,3,19,24,107.0,75.7,99.0,0.157,0.434,0.597,58.6,65.1,8.1,7.3,0.584,17.6,14.3,0.108,0.346,14.3,88.5,0.269
5,2021-10-30,A,MIN,W,93,91,36,88,0.409,9,37,0.243,12,16,0.75,14,48,24,11,10,18,15,97.9,95.8,95.0,0.182,0.42,0.489,51.1,66.7,11.6,20.8,0.46,15.9,31.1,0.136,0.466,17.7,69.4,0.09
6,2021-11-01,A,MEM,L,97,106,39,88,0.443,9,38,0.237,10,15,0.667,6,40,27,8,8,12,10,98.2,107.3,98.8,0.17,0.432,0.513,42.1,69.2,8.1,12.7,0.494,11.3,12.0,0.114,0.521,10.7,75.6,0.052
7,2021-11-03,A,MEM,L,106,108,43,91,0.473,8,27,0.296,12,13,0.923,11,44,24,7,4,11,16,112.5,114.6,94.2,0.143,0.297,0.548,55.0,55.8,7.4,8.5,0.516,10.2,25.0,0.132,0.617,11.2,91.7,0.099
8,2021-11-06,H,HOU,W,95,94,36,89,0.404,9,40,0.225,14,17,0.824,10,45,19,10,5,11,20,100.6,99.5,94.5,0.191,0.449,0.492,48.9,52.8,10.6,10.6,0.455,10.2,20.0,0.157,0.52,15.8,83.3,0.213
9,2021-11-08,H,MIA,W,113,96,42,91,0.462,12,41,0.293,17,24,0.708,12,49,28,7,5,9,23,119.6,101.6,94.5,0.264,0.451,0.556,57.0,66.7,7.4,11.9,0.527,8.1,27.9,0.187,0.481,12.7,86.0,0.269
10,2021-11-10,H,IND,W,101,98,36,84,0.429,12,30,0.4,17,20,0.85,11,39,19,5,4,10,14,113.2,109.8,89.2,0.238,0.357,0.544,44.8,52.8,5.6,7.5,0.5,9.7,22.4,0.202,0.542,11.9,73.7,0.083
11,2021-11-12,H,ATL,W,105,96,40,90,0.444,10,35,0.286,15,20,0.75,10,49,26,6,5,7,21,112.2,102.6,93.6,0.222,0.389,0.531,49.5,65.0,6.4,7.7,0.5,6.6,21.7,0.167,0.435,7.3,73.6,0.161
12,2021-11-14,H,POR,W,124,95,47,90,0.522,19,40,0.475,11,14,0.786,14,49,29,9,1,9,14,139.7,107.0,88.8,0.156,0.444,0.645,57.6,61.7,10.1,2.4,0.628,8.6,33.3,0.122,0.519,12.3,81.4,0.15
13,2021-11-15,A,DAL,L,101,111,40,84,0.476,9,32,0.281,12,17,0.706,10,46,20,4,5,11,16,110.6,121.6,91.3,0.202,0.381,0.552,51.1,50.0,4.4,9.3,0.53,10.7,22.7,0.143,0.578,7.8,78.3,0.078
